Date,Calorie burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,MinutesOfSleep,MinutesOfBeingAwake,NumberOfAwakings,LengthOfRestInMinutes
17-04-2016,2769,8262,6.14,3,1.089,302,0,0,1266,0,0,0,0
18-04-2016,3486,1945,15.06,18,860.0,190,6,98,1926,307,28,12,335
19-04-2016,3596,17232,13.61,17,1.002,262,4,88,2085,0,0,0,0
20-04-2016,3321,16946,12.93,25,762.0,238,5,67,1795,411,31,17,442
21-04-2016,3464,19183,14.67,24,723.0,218,7,97,1964,341,27,17,368
22-04-2016,3328,12963,9.66,10,404.0,436,14,10,202,430,62,39,492
23-04-2016,2612,6456,4.8,6,782.0,305,0,0,1135,305,42,28,348
24-04-2016,2863,10413,7.73,6,700.0,269,28,24,1411,375,56,31,431
25-04-2016,3175,10499,7.8,0,661.0,430,9,4,1805,237,28,14,265
26-04-2016,3357,17226,12.97,19,751.0,185,16,95,1798,360,20,10,380
27-04-2016,3631,19784,15.51,25,694.0,151,26,128,207,361,49,27,410
28-04-2016,403,25571,19.3,15,606.0,293,42,129,2711,374,56,34,430
29-04-2016,3442,17528,13.36,15,594.0,239,8,82,1931,348,20,9,368
30-04-2016,3061,9831,7.3,1,561.0,414,0,0,1651,454,48,27,502
01-05-2016,3331,14262,10.6,5,666.0,361,21,41,1937,347,41,20,388
02-05-2016,2989,13236,9.98,12,770.0,234,8,38,1477,314,34,23,348
03-05-2016,3796,18588,14.13,16,599.0,275,49,79,236,377,33,18,410
04-05-2016,3525,16382,12.39,16,684.0,333,10,55,2075,406,21,8,427
05-05-2016,3649,21913,16.4,19,701.0,287,29,90,2249,280,35,15,315
06-05-2016,3539,19023,14.79,15,575.0,298,8,85,2112,370,42,22,412
07-05-2016,304,9526,7.08,2,564.0,370,13,10,1604,502,57,31,563
